upload_time,plate_no,field3,pickup_timestamp,dropoff_timestamp,fare,field7,mileage,field9,duration,order_status,field12,field13,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,pickup_beijing,dropoff_beijing,duration_minutes,time_diff_minutes,date
2025-09-25 08:28:53,粤BCW7826,,1758757703000,1758759416000,37.5,0.0,7.757,2.836,00:15:03,0,00000000000000000000,0.0,114.034025,22.550035,114.066765,22.55911,2025-09-25 15:48:23,2025-09-25 16:16:56,15.05,28.55,2025-09-25
2025-09-25 08:28:57,粤BCW7826,,1758757703000,1758759416000,37.5,0.0,7.757,2.836,00:15:03,0,00000000000000000000,0.0,114.034025,22.550035,114.066765,22.55911,2025-09-25 15:48:23,2025-09-25 16:16:56,15.05,28.55,2025-09-25
2025-09-25 08:29:03,粤BCW7826,,1758757703000,1758759416000,37.5,0.0,7.757,2.836,00:15:03,0,00000000000000000000,0.0,114.034025,22.550035,114.066765,22.55911,2025-09-25 15:48:23,2025-09-25 16:16:56,15.05,28.55,2025-09-25
2025-09-25 08:29:18,粤BCW7826,,1758757703000,1758759416000,37.5,0.0,7.757,2.836,00:15:03,0,00000000000000000000,0.0,114.034025,22.550035,114.066765,22.55911,2025-09-25 15:48:23,2025-09-25 16:16:56,15.05,28.55,2025-09-25
2025-09-25 08:29:23,粤BCW7826,,1758757703000,1758759416000,37.5,0.0,7.757,2.836,00:15:03,0,00000000000000000000,0.0,114.034025,22.550035,114.066765,22.55911,2025-09-25 15:48:23,2025-09-25 16:16:56,15.05,28.55,2025-09-25
2025-09-25 08:29:39,粤BCW7826,,1758757703000,1758759416000,37.5,0.0,7.757,2.836,00:15:03,0,00000000000000000000,0.0,114.034025,22.550035,114.066765,22.55911,2025-09-25 15:48:23,2025-09-25 16:16:56,15.05,28.55,2025-09-25
2025-09-25 08:29:44,粤BCW7826,,1758757703000,1758759416000,37.5,0.0,7.757,2.836,00:15:03,0,00000000000000000000,0.0,114.034025,22.550035,114.066765,22.55911,2025-09-25 15:48:23,2025-09-25 16:16:56,15.05,28.55,2025-09-25
2025-09-25 08:29:49,粤BCW7826,,1758757703000,1758759416000,37.5,0.0,7.757,2.836,00:15:03,0,00000000000000000000,0.0,114.034025,22.550035,114.066765,22.55911,2025-09-25 15:48:23,2025-09-25 16:16:56,15.05,28.55,2025-09-25
2025-09-25 08:30:02,粤BCW7826,,1758757703000,1758759416000,37.5,0.0,7.757,2.836,00:15:03,0,00000000000000000000,0.0,114.034025,22.550035,114.066765,22.55911,2025-09-25 15:48:23,2025-09-25 16:16:56,15.05,28.55,2025-09-25
2025-09-25 08:30:09,粤BCW7826,,1758757703000,1758759416000,37.5,0.0,7.757,2.836,00:15:03,0,00000000000000000000,0.0,114.034025,22.550035,114.066765,22.55911,2025-09-25 15:48:23,2025-09-25 16:16:56,15.05,28.55,2025-09-25
