state,start,end,duration_minutes,details
occupied,2025-09-27 01:46:45,2025-09-27 01:56:25,9.666666666666666,"{'pickup_lon': 114.10775, 'pickup_lat': 22.568157, 'dropoff_lon': 114.10079, 'dropoff_lat': 22.56597, 'mileage': 1.106, 'fare': 12.5}"
cruising,2025-09-27 01:56:25,2025-09-27 02:06:43,10.3,{}
occupied,2025-09-27 02:06:43,2025-09-27 02:30:04,23.35,"{'pickup_lon': 114.10785, 'pickup_lat': 22.567737, 'dropoff_lon': 114.102312, 'dropoff_lat': 22.545492, 'mileage': 3.353, 'fare': 24.5}"
cruising,2025-09-27 02:30:04,2025-09-27 02:31:42,1.6333333333333333,{}
occupied,2025-09-27 02:31:42,2025-09-27 03:22:38,50.93333333333333,"{'pickup_lon': 114.101147, 'pickup_lat': 22.545557, 'dropoff_lon': 113.984537, 'dropoff_lat': 22.538697, 'mileage': 14.121, 'fare': 55.5}"
cruising,2025-09-27 03:22:38,2025-09-27 03:34:58,12.333333333333334,{}
occupied,2025-09-27 03:34:58,2025-09-27 03:43:58,9.0,"{'pickup_lon': 114.005892, 'pickup_lat': 22.548105, 'dropoff_lon': 114.012865, 'dropoff_lat': 22.559307, 'mileage': 1.897, 'fare': 13.0}"
cruising,2025-09-27 03:43:58,2025-09-27 04:19:15,35.28333333333333,{}
occupied,2025-09-27 04:19:15,2025-09-27 04:54:13,34.96666666666667,"{'pickup_lon': 114.08856, 'pickup_lat': 22.543245, 'dropoff_lon': 114.13719, 'dropoff_lat': 22.58114, 'mileage': 9.209, 'fare': 43.5}"
cruising,2025-09-27 04:54:13,2025-09-27 04:56:07,1.9,{}
occupied,2025-09-27 04:56:07,2025-09-27 05:08:02,11.916666666666666,"{'pickup_lon': 114.135602, 'pickup_lat': 22.57943, 'dropoff_lon': 114.120767, 'dropoff_lat': 22.567015, 'mileage': 3.437, 'fare': 17.5}"
cruising,2025-09-27 05:08:02,2025-09-27 05:19:37,11.583333333333334,{}
occupied,2025-09-27 05:19:37,2025-09-27 05:50:52,31.25,"{'pickup_lon': 114.120302, 'pickup_lat': 22.569802, 'dropoff_lon': 114.178425, 'dropoff_lat': 22.640692, 'mileage': 12.96, 'fare': 48.5}"
cruising,2025-09-27 05:50:52,2025-09-27 06:32:26,41.56666666666667,{}
occupied,2025-09-27 06:32:26,2025-09-27 06:42:00,9.566666666666666,"{'pickup_lon': 114.1357, 'pickup_lat': 22.613627, 'dropoff_lon': 114.144262, 'dropoff_lat': 22.609745, 'mileage': 1.43, 'fare': 13.0}"
cruising,2025-09-27 06:42:00,2025-09-27 07:08:25,26.416666666666668,{}
occupied,2025-09-27 07:08:25,2025-09-27 07:52:56,44.516666666666666,"{'pickup_lon': 114.10859, 'pickup_lat': 22.60178, 'dropoff_lon': 114.11112, 'dropoff_lat': 22.600747, 'mileage': 19.197, 'fare': 84.0}"
