upload_time,plate_no,field3,pickup_timestamp,dropoff_timestamp,fare,field7,mileage,field9,duration,order_status,field12,field13,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,pickup_beijing,dropoff_beijing,duration_minutes,time_diff_minutes,date
2025-09-25 00:14:21,粤BCW7826,,1758729775000,1758730429000,24.5,0.0,4.698,1.428,00:02:40,0,00000000000000000000,0.0,114.08672,22.539635,114.122355,22.55198,2025-09-25 08:02:55,2025-09-25 08:13:49,2.6666666666666665,10.9,2025-09-25
2025-09-25 00:36:44,粤BCW7826,,1758731223000,1758731773000,18.0,0.0,2.652,1.659,00:03:11,0,00000000000000000000,0.0,114.120267,22.544577,114.10705,22.554105,2025-09-25 08:27:03,2025-09-25 08:36:13,3.183333333333333,9.166666666666666,2025-09-25
2025-09-25 01:05:43,粤BCW7826,,1758733162000,1758733511000,13.0,0.0,1.4,2.851,00:02:32,0,00000000000000000000,0.0,114.12059,22.54408,114.11704,22.550825,2025-09-25 08:59:22,2025-09-25 09:05:11,2.533333333333333,5.816666666666666,2025-09-25
2025-09-25 01:23:02,粤BCW7826,,1758734199000,1758734550000,14.0,0.0,1.711,0.969,00:02:00,0,00000000000000000000,0.0,114.11809,22.543802,114.117395,22.536812,2025-09-25 09:16:39,2025-09-25 09:22:30,2.0,5.85,2025-09-25
2025-09-25 01:35:10,粤BCW7826,,1758734606000,1758735277000,38.5,0.0,9.21,0.165,00:00:14,0,00000000000000000000,0.0,114.11626,22.535797,114.070315,22.523652,2025-09-25 09:23:26,2025-09-25 09:34:37,0.23333333333333334,11.183333333333334,2025-09-25
2025-09-25 02:45:17,粤BCW7826,,1758739006000,1758739485000,20.5,0.0,3.772,4.383,00:01:51,0,00000000000000000000,0.0,114.086475,22.540697,114.116117,22.54195,2025-09-25 10:36:46,2025-09-25 10:44:45,1.85,7.983333333333333,2025-09-25
2025-09-25 03:43:06,粤BCW7826,,1758740890000,1758742954000,94.5,0.0,23.002,0.253,00:06:49,0,00000000000000000000,0.0,114.11606,22.541975,114.00006,22.65155,2025-09-25 11:08:10,2025-09-25 11:42:34,6.816666666666666,34.4,2025-09-25
2025-09-25 04:30:34,粤BCW7826,,1758744962000,1758745802000,39.0,0.0,8.785,14.561,00:02:43,0,00000000000000000000,0.0,114.11283,22.611085,114.135632,22.557785,2025-09-25 12:16:02,2025-09-25 12:30:02,2.716666666666667,14.0,2025-09-25
2025-09-25 05:00:34,粤BCW7826,,1758746971000,1758747602000,24.0,0.0,4.397,9.616,00:03:26,0,00000000000000000000,0.0,114.11934,22.612095,114.131792,22.633495,2025-09-25 12:49:31,2025-09-25 13:00:02,3.4333333333333336,10.516666666666667,2025-09-25
2025-09-25 07:00:58,粤BCW7826,,1758754229000,1758754854000,14.0,0.0,1.737,9.15,00:06:06,0,00000000000000000000,0.0,114.1099,22.54468,114.114675,22.531222,2025-09-25 14:50:29,2025-09-25 15:00:54,6.1,10.416666666666666,2025-09-25
2025-09-25 07:40:18,粤BCW7826,,1758755779000,1758757208000,38.0,0.0,9.887,4.369,00:08:27,0,00000000000000000000,0.0,114.124545,22.563777,114.050035,22.545327,2025-09-25 15:16:19,2025-09-25 15:40:08,8.45,23.816666666666666,2025-09-25
2025-09-25 08:20:49,粤BCW7826,,1758757703000,1758759416000,37.5,0.0,7.757,2.836,00:15:03,0,00000000000000000000,0.0,114.034025,22.550035,114.066765,22.55911,2025-09-25 15:48:23,2025-09-25 16:16:56,15.05,28.55,2025-09-25
2025-09-25 11:43:56,粤BCW7826,,1758759770000,1758760759000,23.0,0.0,4.395,1.551,00:08:06,0,00000000000000000000,0.0,114.061062,22.56393,114.025395,22.55594,2025-09-25 16:22:50,2025-09-25 16:39:19,8.1,16.483333333333334,2025-09-25
2025-09-25 11:44:02,粤BCW7826,,1758761389000,1758762249000,21.0,0.0,3.863,2.616,00:07:27,0,00000000000000000000,0.0,114.0185,22.556432,114.03078,22.529872,2025-09-25 16:49:49,2025-09-25 17:04:09,7.45,14.333333333333334,2025-09-25
2025-09-25 11:44:19,粤BCW7826,,1758762469000,1758763128000,20.5,0.0,5.121,0.717,00:02:32,0,00000000000000000000,0.0,114.03481,22.526905,114.056947,22.54939,2025-09-25 17:07:49,2025-09-25 17:18:48,2.533333333333333,10.983333333333333,2025-09-25
2025-09-25 11:44:25,粤BCW7826,,1758765155000,1758765714000,14.0,0.0,2.158,4.423,00:04:39,0,00000000000000000000,0.0,114.08964,22.554087,114.085132,22.540757,2025-09-25 17:52:35,2025-09-25 18:01:54,4.65,9.316666666666666,2025-09-25
2025-09-25 11:44:29,粤BCW7826,,1758766463000,1758766865000,12.0,0.0,2.187,3.48,00:01:56,0,00000000000000000000,0.0,114.107585,22.53632,114.115127,22.53843,2025-09-25 18:14:23,2025-09-25 18:21:05,1.9333333333333333,6.7,2025-09-25
2025-09-25 11:44:34,粤BCW7826,,1758768805000,1758769320000,14.5,0.0,3.009,1.301,00:02:43,0,00000000000000000000,0.0,114.12705,22.550012,114.14179,22.548207,2025-09-25 18:53:25,2025-09-25 19:02:00,2.716666666666667,8.583333333333334,2025-09-25
2025-09-25 11:44:37,粤BCW7826,,1758770133000,1758770395000,10.5,0.0,1.963,3.642,00:00:54,0,00000000000000000000,0.0,114.122535,22.550357,114.120445,22.538915,2025-09-25 19:15:33,2025-09-25 19:19:55,0.9,4.366666666666666,2025-09-25
2025-09-25 12:11:34,粤BCW7826,,1758773168000,1758773489000,12.0,0.0,2.448,4.235,00:00:49,0,00000000000000000000,0.0,114.115367,22.563352,114.120875,22.557675,2025-09-25 20:06:08,2025-09-25 20:11:29,0.8166666666666667,5.35,2025-09-25
2025-09-25 12:25:03,粤BCW7826,,1758773833000,1758774299000,14.0,0.0,2.993,1.203,00:02:01,0,00000000000000000000,0.0,114.11539,22.55404,114.129357,22.551202,2025-09-25 20:17:13,2025-09-25 20:24:59,2.0166666666666666,7.766666666666667,2025-09-25
2025-09-25 13:49:00,粤BCW7826,,1758779074000,1758779332000,10.0,0.0,1.117,7.557,00:01:15,0,00000000000000000000,0.0,114.133007,22.582322,114.128985,22.58834,2025-09-25 21:44:34,2025-09-25 21:48:52,1.25,4.3,2025-09-25
2025-09-25 14:03:02,粤BCW7826,,1758779369000,1758780172000,18.0,0.0,3.754,0.011,00:04:28,0,00000000000000000000,0.0,114.129057,22.588442,114.136667,22.569452,2025-09-25 21:49:29,2025-09-25 22:02:52,4.466666666666667,13.383333333333333,2025-09-25
2025-09-25 14:17:51,粤BCW7826,,1758780514000,1758781064000,13.5,0.0,1.978,1.027,00:04:17,0,00000000000000000000,0.0,114.130795,22.574787,114.12056,22.57562,2025-09-25 22:08:34,2025-09-25 22:17:44,4.283333333333333,9.166666666666666,2025-09-25
2025-09-25 18:05:19,粤BCW7826,,1758793152000,1758794687000,37.0,0.0,10.307,15.085,00:05:24,0,00000000000000000000,0.0,114.11983,22.546745,114.130602,22.603967,2025-09-26 01:39:12,2025-09-26 02:04:47,5.4,25.583333333333332,2025-09-26
2025-09-25 18:40:28,粤BCW7826,,1758795683000,1758796796000,26.5,0.0,5.612,3.235,00:08:34,0,00000000000000000000,0.0,114.113857,22.587565,114.131475,22.5612,2025-09-26 02:21:23,2025-09-26 02:39:56,8.566666666666666,18.55,2025-09-26
2025-09-25 18:59:39,粤BCW7826,,1758797515000,1758797948000,12.5,0.0,2.501,1.856,00:01:31,0,00000000000000000000,0.0,114.127585,22.550055,114.121822,22.567027,2025-09-26 02:51:55,2025-09-26 02:59:08,1.5166666666666666,7.216666666666667,2025-09-26
2025-09-25 19:29:53,粤BCW7826,,1758799070000,1758799762000,18.5,0.0,4.038,4.355,00:04:14,0,00000000000000000000,0.0,114.107792,22.567597,114.116302,22.54901,2025-09-26 03:17:50,2025-09-26 03:29:22,4.233333333333333,11.533333333333333,2025-09-26
2025-09-25 19:43:40,粤BCW7826,,1758800050000,1758800589000,14.5,0.0,3.017,0.739,00:02:07,0,00000000000000000000,0.0,114.119175,22.54403,114.13711,22.546905,2025-09-26 03:34:10,2025-09-26 03:43:09,2.1166666666666667,8.983333333333333,2025-09-26
